"landtype","spp","DOMName","poolID","amountAtT0"
219,"ABIE.BAL","Sng_Stem",8,19
219,"ABIE.BAL","Sng_Oth",9,1
219,"ABIE.BAL","Extra",10,0
220,"ABIE.BAL","VF_A",1,43
220,"ABIE.BAL","VF_B",2,17
220,"ABIE.BAL","Fast_A",3,26
220,"ABIE.BAL","Fast_B",4,17
220,"ABIE.BAL","MED",5,97
220,"ABIE.BAL","Slow_A",6,417
220,"ABIE.BAL","Slow_B",7,1288
220,"ABIE.BAL","Sng_Stem",8,17
220,"ABIE.BAL","Sng_Oth",9,2
220,"ABIE.BAL","Extra",10,0
221,"ABIE.BAL","VF_A",1,32
221,"ABIE.BAL","VF_B",2,12
221,"ABIE.BAL","Fast_A",3,31
221,"ABIE.BAL","Fast_B",4,12
221,"ABIE.BAL","MED",5,71
221,"ABIE.BAL","Slow_A",6,335
221,"ABIE.BAL","Slow_B",7,985
221,"ABIE.BAL","Sng_Stem",8,17
221,"ABIE.BAL","Sng_Oth",9,5
221,"ABIE.BAL","Extra",10,0
222,"ABIE.BAL","VF_A",1,45
222,"ABIE.BAL","VF_B",2,18
222,"ABIE.BAL","Fast_A",3,24
222,"ABIE.BAL","Fast_B",4,18
222,"ABIE.BAL","MED",5,113
222,"ABIE.BAL","Slow_A",6,427
222,"ABIE.BAL","Slow_B",7,1311
222,"ABIE.BAL","Sng_Stem",8,18
222,"ABIE.BAL","Sng_Oth",9,0
222,"ABIE.BAL","Extra",10,0
223,"ABIE.BAL","VF_A",1,45
223,"ABIE.BAL","VF_B",2,18
223,"ABIE.BAL","Fast_A",3,23
223,"ABIE.BAL","Fast_B",4,18
223,"ABIE.BAL","MED",5,102
223,"ABIE.BAL","Slow_A",6,401
223,"ABIE.BAL","Slow_B",7,1244
223,"ABIE.BAL","Sng_Stem",8,16
223,"ABIE.BAL","Sng_Oth",9,0
223,"ABIE.BAL","Extra",10,0
378,"ABIE.BAL","VF_A",1,5
378,"ABIE.BAL","VF_B",2,1
378,"ABIE.BAL","Fast_A",3,16
378,"ABIE.BAL","Fast_B",4,3
378,"ABIE.BAL","MED",5,22
378,"ABIE.BAL","Slow_A",6,137
378,"ABIE.BAL","Slow_B",7,365
378,"ABIE.BAL","Sng_Stem",8,9
378,"ABIE.BAL","Sng_Oth",9,3
378,"ABIE.BAL","Extra",10,0
379,"ABIE.BAL","VF_A",1,3
379,"ABIE.BAL","VF_B",2,0
379,"ABIE.BAL","Fast_A",3,13
379,"ABIE.BAL","Fast_B",4,2
379,"ABIE.BAL","MED",5,21
379,"ABIE.BAL","Slow_A",6,140
379,"ABIE.BAL","Slow_B",7,389
379,"ABIE.BAL","Sng_Stem",8,8
379,"ABIE.BAL","Sng_Oth",9,1
379,"ABIE.BAL","Extra",10,0
28,"ACER.RUB","VF_A",1,3
28,"ACER.RUB","VF_B",2,1
28,"ACER.RUB","Fast_A",3,4
28,"ACER.RUB","Fast_B",4,2
28,"ACER.RUB","MED",5,0
28,"ACER.RUB","Slow_A",6,50
28,"ACER.RUB","Slow_B",7,170
28,"ACER.RUB","Sng_Stem",8,0
28,"ACER.RUB","Sng_Oth",9,1
28,"ACER.RUB","Extra",10,0
29,"ACER.RUB","VF_A",1,5
29,"ACER.RUB","VF_B",2,2
29,"ACER.RUB","Fast_A",3,7
29,"ACER.RUB","Fast_B",4,2
29,"ACER.RUB","MED",5,0
29,"ACER.RUB","Slow_A",6,62
29,"ACER.RUB","Slow_B",7,198
29,"ACER.RUB","Sng_Stem",8,0
29,"ACER.RUB","Sng_Oth",9,1
29,"ACER.RUB","Extra",10,0
130,"ACER.RUB","VF_A",1,8
130,"ACER.RUB","VF_B",2,3
130,"ACER.RUB","Fast_A",3,6
130,"ACER.RUB","Fast_B",4,4
130,"ACER.RUB","MED",5,0
130,"ACER.RUB","Slow_A",6,67
130,"ACER.RUB","Slow_B",7,217
130,"ACER.RUB","Sng_Stem",8,0
130,"ACER.RUB","Sng_Oth",9,0
130,"ACER.RUB","Extra",10,0
131,"ACER.RUB","VF_A",1,8
131,"ACER.RUB","VF_B",2,3
131,"ACER.RUB","Fast_A",3,11
131,"ACER.RUB","Fast_B",4,4
131,"ACER.RUB","MED",5,0
131,"ACER.RUB","Slow_A",6,80
131,"ACER.RUB","Slow_B",7,241
131,"ACER.RUB","Sng_Stem",8,0
131,"ACER.RUB","Sng_Oth",9,1
131,"ACER.RUB","Extra",10,0
132,"ACER.RUB","VF_A",1,6
132,"ACER.RUB","VF_B",2,2
132,"ACER.RUB","Fast_A",3,6
132,"ACER.RUB","Fast_B",4,3
132,"ACER.RUB","MED",5,0
132,"ACER.RUB","Slow_A",6,55
132,"ACER.RUB","Slow_B",7,177
132,"ACER.RUB","Sng_Stem",8,0
132,"ACER.RUB","Sng_Oth",9,0
132,"ACER.RUB","Extra",10,0
133,"ACER.RUB","VF_A",1,6
133,"ACER.RUB","VF_B",2,2
133,"ACER.RUB","Fast_A",3,12
133,"ACER.RUB","Fast_B",4,3
133,"ACER.RUB","MED",5,0
133,"ACER.RUB","Slow_A",6,72
133,"ACER.RUB","Slow_B",7,201
133,"ACER.RUB","Sng_Stem",8,0
133,"ACER.RUB","Sng_Oth",9,2
133,"ACER.RUB","Extra",10,0
134,"ACER.RUB","VF_A",1,8
134,"ACER.RUB","VF_B",2,3
134,"ACER.RUB","Fast_A",3,12
134,"ACER.RUB","Fast_B",4,3
134,"ACER.RUB","MED",5,0
134,"ACER.RUB","Slow_A",6,70
134,"ACER.RUB","Slow_B",7,194
134,"ACER.RUB","Sng_Stem",8,0
134,"ACER.RUB","Sng_Oth",9,2
134,"ACER.RUB","Extra",10,0
135,"ACER.RUB","VF_A",1,8
135,"ACER.RUB","VF_B",2,3
135,"ACER.RUB","Fast_A",3,13
135,"ACER.RUB","Fast_B",4,3
135,"ACER.RUB","MED",5,0
135,"ACER.RUB","Slow_A",6,76
135,"ACER.RUB","Slow_B",7,211
135,"ACER.RUB","Sng_Stem",8,0
135,"ACER.RUB","Sng_Oth",9,2
135,"ACER.RUB","Extra",10,0
136,"ACER.RUB","VF_A",1,16
136,"ACER.RUB","VF_B",2,6
136,"ACER.RUB","Fast_A",3,28
136,"ACER.RUB","Fast_B",4,6
136,"ACER.RUB","MED",5,0
136,"ACER.RUB","Slow_A",6,129
136,"ACER.RUB","Slow_B",7,340
136,"ACER.RUB","Sng_Stem",8,0
136,"ACER.RUB","Sng_Oth",9,4
136,"ACER.RUB","Extra",10,0
137,"ACER.RUB","VF_A",1,17
137,"ACER.RUB","VF_B",2,7
137,"ACER.RUB","Fast_A",3,33
137,"ACER.RUB","Fast_B",4,7
137,"ACER.RUB","MED",5,0
137,"ACER.RUB","Slow_A",6,162
137,"ACER.RUB","Slow_B",7,426
137,"ACER.RUB","Sng_Stem",8,0
137,"ACER.RUB","Sng_Oth",9,5
