LandisData "ForC Succession"

ClimateTable
>>Time	Eco	AvgT
>>Step		(C)
0	18	6.239
0	19	5.855
0	20	6.064
0	21	6.137
0	69	4.904
0	70	4.852
0	71	5.17
0	72	5.131
10	18	6.81
10	19	6.426
10	20	6.635
10	21	6.709
10	69	5.475
10	70	5.424
10	71	5.741
10	72	5.702
20	18	7.434
20	19	7.05
20	20	7.259
20	21	7.333
20	69	6.099
20	70	6.048
20	71	6.366
20	72	6.327
30	18	8.108
30	19	7.724
30	20	7.933
30	21	8.007
30	69	6.773
30	70	6.722
30	71	7.039
30	72	7
40	18	8.827
40	19	8.444
40	20	8.652
40	21	8.726
40	69	7.492
40	70	7.441
40	71	7.759
40	72	7.72
50	18	9.589
50	19	9.205
50	20	9.414
50	21	9.487
50	69	8.254
50	70	8.202
50	71	8.52
50	72	8.481
60	18	10.387
60	19	10.004
60	20	10.212
60	21	10.286
60	69	9.052
60	70	9.001
60	71	9.319
60	72	9.28
70	18	11.221
70	19	10.837
70	20	11.046
70	21	11.12
70	69	9.886
70	70	9.835
70	71	10.152
70	72	10.113
