"landtype","spp","poolID","DOMName","amountAtT0"
18,"PINU.STR",8,"Sng_Stem",0
18,"PINU.STR",9,"Sng_Oth",0
18,"PINU.STR",10,"Extra",0
18,"POPU.TRE",1,"VF_A",0
18,"POPU.TRE",2,"VF_B",0
18,"POPU.TRE",3,"Fast_A",1
18,"POPU.TRE",4,"Fast_B",0
18,"POPU.TRE",5,"MED",1
18,"POPU.TRE",6,"Slow_A",19
18,"POPU.TRE",7,"Slow_B",9
18,"POPU.TRE",8,"Sng_Stem",0
18,"POPU.TRE",9,"Sng_Oth",0
18,"POPU.TRE",10,"Extra",0
18,"QUER.RUB",1,"VF_A",0
18,"QUER.RUB",2,"VF_B",0
18,"QUER.RUB",3,"Fast_A",13
18,"QUER.RUB",4,"Fast_B",0
18,"QUER.RUB",5,"MED",26
18,"QUER.RUB",6,"Slow_A",378
18,"QUER.RUB",7,"Slow_B",184
18,"QUER.RUB",8,"Sng_Stem",0
18,"QUER.RUB",9,"Sng_Oth",6
18,"QUER.RUB",10,"Extra",0
18,"THUJ.SPP.ALL",1,"VF_A",0
18,"THUJ.SPP.ALL",2,"VF_B",0
18,"THUJ.SPP.ALL",3,"Fast_A",22
18,"THUJ.SPP.ALL",4,"Fast_B",0
18,"THUJ.SPP.ALL",5,"MED",44
18,"THUJ.SPP.ALL",6,"Slow_A",635
18,"THUJ.SPP.ALL",7,"Slow_B",310
18,"THUJ.SPP.ALL",8,"Sng_Stem",0
18,"THUJ.SPP.ALL",9,"Sng_Oth",10
18,"THUJ.SPP.ALL",10,"Extra",0
18,"TSUG.CAN",1,"VF_A",0
18,"TSUG.CAN",2,"VF_B",0
18,"TSUG.CAN",3,"Fast_A",12
18,"TSUG.CAN",4,"Fast_B",0
18,"TSUG.CAN",5,"MED",25
18,"TSUG.CAN",6,"Slow_A",361
18,"TSUG.CAN",7,"Slow_B",176
18,"TSUG.CAN",8,"Sng_Stem",0
18,"TSUG.CAN",9,"Sng_Oth",6
18,"TSUG.CAN",10,"Extra",0
19,"ABIE.BAL",1,"VF_A",0
19,"ABIE.BAL",2,"VF_B",0
19,"ABIE.BAL",3,"Fast_A",3
19,"ABIE.BAL",4,"Fast_B",0
19,"ABIE.BAL",5,"MED",6
19,"ABIE.BAL",6,"Slow_A",87
19,"ABIE.BAL",7,"Slow_B",43
19,"ABIE.BAL",8,"Sng_Stem",0
19,"ABIE.BAL",9,"Sng_Oth",1
19,"ABIE.BAL",10,"Extra",0
19,"ACER.RUB",1,"VF_A",0
19,"ACER.RUB",2,"VF_B",0
19,"ACER.RUB",3,"Fast_A",4
19,"ACER.RUB",4,"Fast_B",0
19,"ACER.RUB",5,"MED",8
19,"ACER.RUB",6,"Slow_A",123
19,"ACER.RUB",7,"Slow_B",60
19,"ACER.RUB",8,"Sng_Stem",0
19,"ACER.RUB",9,"Sng_Oth",2
19,"ACER.RUB",10,"Extra",0
19,"ACER.SAH",1,"VF_A",0
19,"ACER.SAH",2,"VF_B",0
19,"ACER.SAH",3,"Fast_A",13
19,"ACER.SAH",4,"Fast_B",0
19,"ACER.SAH",5,"MED",26
19,"ACER.SAH",6,"Slow_A",381
19,"ACER.SAH",7,"Slow_B",186
19,"ACER.SAH",8,"Sng_Stem",0
19,"ACER.SAH",9,"Sng_Oth",6
19,"ACER.SAH",10,"Extra",0
