"landtype","spp","poolID","DOMName","amountAtT0"
16,"PINU.STR",8,"Sng_Stem",32
16,"PINU.STR",9,"Sng_Oth",5
16,"PINU.STR",10,"Extra",0
16,"POPU.TRE",1,"VF_A",0
16,"POPU.TRE",2,"VF_B",0
16,"POPU.TRE",3,"Fast_A",18
16,"POPU.TRE",4,"Fast_B",0
16,"POPU.TRE",5,"MED",11
16,"POPU.TRE",6,"Slow_A",391
16,"POPU.TRE",7,"Slow_B",390
16,"POPU.TRE",8,"Sng_Stem",28
16,"POPU.TRE",9,"Sng_Oth",5
16,"POPU.TRE",10,"Extra",0
16,"QUER.RUB",1,"VF_A",0
16,"QUER.RUB",2,"VF_B",0
16,"QUER.RUB",3,"Fast_A",16
16,"QUER.RUB",4,"Fast_B",0
16,"QUER.RUB",5,"MED",10
16,"QUER.RUB",6,"Slow_A",347
16,"QUER.RUB",7,"Slow_B",346
16,"QUER.RUB",8,"Sng_Stem",25
16,"QUER.RUB",9,"Sng_Oth",4
16,"QUER.RUB",10,"Extra",0
16,"THUJ.SPP.ALL",1,"VF_A",0
16,"THUJ.SPP.ALL",2,"VF_B",0
16,"THUJ.SPP.ALL",3,"Fast_A",12
16,"THUJ.SPP.ALL",4,"Fast_B",0
16,"THUJ.SPP.ALL",5,"MED",7
16,"THUJ.SPP.ALL",6,"Slow_A",260
16,"THUJ.SPP.ALL",7,"Slow_B",259
16,"THUJ.SPP.ALL",8,"Sng_Stem",18
16,"THUJ.SPP.ALL",9,"Sng_Oth",3
16,"THUJ.SPP.ALL",10,"Extra",0
16,"TSUG.CAN",1,"VF_A",0
16,"TSUG.CAN",2,"VF_B",0
16,"TSUG.CAN",3,"Fast_A",16
16,"TSUG.CAN",4,"Fast_B",0
16,"TSUG.CAN",5,"MED",10
16,"TSUG.CAN",6,"Slow_A",350
16,"TSUG.CAN",7,"Slow_B",349
16,"TSUG.CAN",8,"Sng_Stem",25
16,"TSUG.CAN",9,"Sng_Oth",4
16,"TSUG.CAN",10,"Extra",0
17,"ABIE.BAL",1,"VF_A",0
17,"ABIE.BAL",2,"VF_B",0
17,"ABIE.BAL",3,"Fast_A",2
17,"ABIE.BAL",4,"Fast_B",0
17,"ABIE.BAL",5,"MED",1
17,"ABIE.BAL",6,"Slow_A",36
17,"ABIE.BAL",7,"Slow_B",36
17,"ABIE.BAL",8,"Sng_Stem",3
17,"ABIE.BAL",9,"Sng_Oth",0
17,"ABIE.BAL",10,"Extra",0
17,"ACER.RUB",1,"VF_A",0
17,"ACER.RUB",2,"VF_B",0
17,"ACER.RUB",3,"Fast_A",4
17,"ACER.RUB",4,"Fast_B",0
17,"ACER.RUB",5,"MED",2
17,"ACER.RUB",6,"Slow_A",89
17,"ACER.RUB",7,"Slow_B",88
17,"ACER.RUB",8,"Sng_Stem",6
17,"ACER.RUB",9,"Sng_Oth",1
17,"ACER.RUB",10,"Extra",0
17,"ACER.SAH",1,"VF_A",0
17,"ACER.SAH",2,"VF_B",0
17,"ACER.SAH",3,"Fast_A",8
17,"ACER.SAH",4,"Fast_B",0
17,"ACER.SAH",5,"MED",5
17,"ACER.SAH",6,"Slow_A",171
17,"ACER.SAH",7,"Slow_B",170
17,"ACER.SAH",8,"Sng_Stem",12
17,"ACER.SAH",9,"Sng_Oth",2
17,"ACER.SAH",10,"Extra",0
17,"BETU.ALL",1,"VF_A",0
17,"BETU.ALL",2,"VF_B",0
17,"BETU.ALL",3,"Fast_A",1
17,"BETU.ALL",4,"Fast_B",0
17,"BETU.ALL",5,"MED",1
17,"BETU.ALL",6,"Slow_A",30
17,"BETU.ALL",7,"Slow_B",30
17,"BETU.ALL",8,"Sng_Stem",2
17,"BETU.ALL",9,"Sng_Oth",0
17,"BETU.ALL",10,"Extra",0
17,"BETU.PAP",1,"VF_A",0
17,"BETU.PAP",2,"VF_B",0
17,"BETU.PAP",3,"Fast_A",3
17,"BETU.PAP",4,"Fast_B",0
17,"BETU.PAP",5,"MED",2
17,"BETU.PAP",6,"Slow_A",64
17,"BETU.PAP",7,"Slow_B",64
17,"BETU.PAP",8,"Sng_Stem",5
17,"BETU.PAP",9,"Sng_Oth",1
17,"BETU.PAP",10,"Extra",0
17,"FAGU.GRA",1,"VF_A",0
17,"FAGU.GRA",2,"VF_B",0
17,"FAGU.GRA",3,"Fast_A",11
17,"FAGU.GRA",4,"Fast_B",0
17,"FAGU.GRA",5,"MED",7
17,"FAGU.GRA",6,"Slow_A",235
17,"FAGU.GRA",7,"Slow_B",235
17,"FAGU.GRA",8,"Sng_Stem",17
17,"FAGU.GRA",9,"Sng_Oth",3
17,"FAGU.GRA",10,"Extra",0
17,"LARI.LAR",1,"VF_A",0
17,"LARI.LAR",2,"VF_B",0
17,"LARI.LAR",3,"Fast_A",2
17,"LARI.LAR",4,"Fast_B",0
17,"LARI.LAR",5,"MED",1
17,"LARI.LAR",6,"Slow_A",52
17,"LARI.LAR",7,"Slow_B",52
17,"LARI.LAR",8,"Sng_Stem",4
