LandisData "ForC Succession"

ClimateTable
>>Time	Eco	AvgT
>>Step		(C)
0	28	5.483
0	29	5.37
0	130	3.752
0	131	3.763
0	132	3.982
0	133	4.614
0	134	4.109
0	135	4.189
0	136	3.964
0	137	4.091
0	217	2.6
0	218	2.204
0	219	2.17
0	220	2.509
0	221	3.088
0	222	1.694
0	223	1.67
0	378	4.681
0	379	4.495
10	28	5.901
10	29	5.789
10	130	4.171
10	131	4.182
10	132	4.4
10	133	5.032
10	134	4.527
10	135	4.608
10	136	4.382
10	137	4.509
10	217	3.019
10	218	2.623
10	219	2.588
10	220	2.928
10	221	3.506
10	222	2.112
10	223	2.088
10	378	5.1
10	379	4.914
20	28	6.302
20	29	6.19
20	130	4.572
20	131	4.583
20	132	4.801
20	133	5.433
20	134	4.929
20	135	5.009
20	136	4.784
20	137	4.91
20	217	3.42
20	218	3.024
20	219	2.989
20	220	3.329
20	221	3.907
20	222	2.513
20	223	2.489
20	378	5.501
20	379	5.315
30	28	6.665
30	29	6.553
30	130	4.935
30	131	4.946
30	132	5.165
30	133	5.797
30	134	5.292
30	135	5.372
30	136	5.147
30	137	5.274
30	217	3.783
30	218	3.387
30	219	3.353
30	220	3.692
30	221	4.271
30	222	2.877
30	223	2.853
30	378	5.864
30	379	5.678
40	28	6.975
40	29	6.862
40	130	5.245
40	131	5.255
40	132	5.474
40	133	6.106
40	134	5.601
40	135	5.682
40	136	5.456
40	137	5.583
40	217	4.093
40	218	3.697
40	219	3.662
40	220	4.002
40	221	4.58
40	222	3.186
40	223	3.162
40	378	6.174
40	379	5.988
50	28	7.216
50	29	7.104
50	130	5.486
50	131	5.497
50	132	5.716
50	133	6.348
50	134	5.843
50	135	5.923
50	136	5.698
50	137	5.825
50	217	4.334
50	218	3.938
50	219	3.904
50	220	4.243
50	221	4.822
50	222	3.428
50	223	3.404
50	378	6.415
50	379	6.229
60	28	7.371
60	29	7.259
60	130	5.641
60	131	5.652
60	132	5.871
60	133	6.503
60	134	5.998
60	135	6.078
60	136	5.853
60	137	5.98
60	217	4.489
60	218	4.093
60	219	4.058
60	220	4.398
60	221	4.976
60	222	3.583
60	223	3.558
60	378	6.57
60	379	6.384
70	28	7.422
70	29	7.31
70	130	5.692
70	131	5.703
70	132	5.921
70	133	6.553
70	134	6.048
70	135	6.129
70	136	5.903
70	137	6.03
70	217	4.54
70	218	4.144
70	219	4.109
70	220	4.449
70	221	5.027
70	222	3.633
70	223	3.609
70	378	6.621
70	379	6.435
