"landtype","spp","DOMName","poolID","amountAtT0"
16,"ACER.RUB","Extra",10,0
17,"ACER.RUB","VF_A",1,30
17,"ACER.RUB","VF_B",2,4
17,"ACER.RUB","Fast_A",3,45
17,"ACER.RUB","Fast_B",4,6
17,"ACER.RUB","MED",5,21
17,"ACER.RUB","Slow_A",6,280
17,"ACER.RUB","Slow_B",7,681
17,"ACER.RUB","Sng_Stem",8,18
17,"ACER.RUB","Sng_Oth",9,18
17,"ACER.RUB","Extra",10,0
58,"ACER.RUB","VF_A",1,14
58,"ACER.RUB","VF_B",2,3
58,"ACER.RUB","Fast_A",3,19
58,"ACER.RUB","Fast_B",4,4
58,"ACER.RUB","MED",5,7
58,"ACER.RUB","Slow_A",6,144
58,"ACER.RUB","Slow_B",7,412
58,"ACER.RUB","Sng_Stem",8,5
58,"ACER.RUB","Sng_Oth",9,6
58,"ACER.RUB","Extra",10,0
59,"ACER.RUB","VF_A",1,23
59,"ACER.RUB","VF_B",2,4
59,"ACER.RUB","Fast_A",3,38
59,"ACER.RUB","Fast_B",4,6
59,"ACER.RUB","MED",5,9
59,"ACER.RUB","Slow_A",6,201
59,"ACER.RUB","Slow_B",7,524
59,"ACER.RUB","Sng_Stem",8,7
59,"ACER.RUB","Sng_Oth",9,18
59,"ACER.RUB","Extra",10,0
65,"ACER.RUB","VF_A",1,13
65,"ACER.RUB","VF_B",2,2
65,"ACER.RUB","Fast_A",3,18
65,"ACER.RUB","Fast_B",4,3
65,"ACER.RUB","MED",5,8
65,"ACER.RUB","Slow_A",6,110
65,"ACER.RUB","Slow_B",7,290
65,"ACER.RUB","Sng_Stem",8,5
65,"ACER.RUB","Sng_Oth",9,7
65,"ACER.RUB","Extra",10,0
66,"ACER.RUB","VF_A",1,17
66,"ACER.RUB","VF_B",2,3
66,"ACER.RUB","Fast_A",3,23
66,"ACER.RUB","Fast_B",4,3
66,"ACER.RUB","MED",5,8
66,"ACER.RUB","Slow_A",6,127
66,"ACER.RUB","Slow_B",7,325
66,"ACER.RUB","Sng_Stem",8,6
66,"ACER.RUB","Sng_Oth",9,7
66,"ACER.RUB","Extra",10,0
67,"ACER.RUB","VF_A",1,14
67,"ACER.RUB","VF_B",2,3
67,"ACER.RUB","Fast_A",3,25
67,"ACER.RUB","Fast_B",4,4
67,"ACER.RUB","MED",5,12
67,"ACER.RUB","Slow_A",6,142
67,"ACER.RUB","Slow_B",7,364
67,"ACER.RUB","Sng_Stem",8,8
67,"ACER.RUB","Sng_Oth",9,8
67,"ACER.RUB","Extra",10,0
68,"ACER.RUB","VF_A",1,16
68,"ACER.RUB","VF_B",2,3
68,"ACER.RUB","Fast_A",3,23
68,"ACER.RUB","Fast_B",4,4
68,"ACER.RUB","MED",5,19
68,"ACER.RUB","Slow_A",6,175
68,"ACER.RUB","Slow_B",7,459
68,"ACER.RUB","Sng_Stem",8,11
68,"ACER.RUB","Sng_Oth",9,5
68,"ACER.RUB","Extra",10,0
8,"ACER.SAH","VF_A",1,0
8,"ACER.SAH","VF_B",2,0
8,"ACER.SAH","Fast_A",3,0
8,"ACER.SAH","Fast_B",4,0
8,"ACER.SAH","MED",5,0
8,"ACER.SAH","Slow_A",6,0
8,"ACER.SAH","Slow_B",7,0
8,"ACER.SAH","Sng_Stem",8,0
8,"ACER.SAH","Sng_Oth",9,0
8,"ACER.SAH","Extra",10,0
9,"ACER.SAH","VF_A",1,0
9,"ACER.SAH","VF_B",2,0
9,"ACER.SAH","Fast_A",3,0
9,"ACER.SAH","Fast_B",4,0
9,"ACER.SAH","MED",5,0
9,"ACER.SAH","Slow_A",6,0
9,"ACER.SAH","Slow_B",7,0
9,"ACER.SAH","Sng_Stem",8,0
