simID,areaName,scenario,mgmt,cropped,spinup,fire,BDA,wind,harvest,replicate
59,ForMont,baseline,4.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
60,Hereford,baseline,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
61,Hereford,baseline,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
62,Hereford,baseline,3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
63,Hereford,baseline,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
64,ForMont,baseline,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
65,ForMont,baseline,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
66,ForMont,baseline,2.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
67,ForMont,baseline,2.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
68,ForMont,baseline,2.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
69,ForMont,baseline,3.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
70,ForMont,baseline,3.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
71,ForMont,baseline,3.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
72,ForMont,baseline,4.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
73,ForMont,baseline,4.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
74,ForMont,baseline,4.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
75,Hereford,RCP45,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
76,Hereford,RCP85,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
77,Hereford,RCP45,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
78,Hereford,RCP85,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
79,Hereford,RCP45,3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
80,Hereford,RCP85,3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
81,Hereford,RCP45,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
82,Hereford,RCP85,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
83,ForMont,RCP45,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
