"simID","areaName","scenario","mgmt","cropped","spinup","fire","BDA","wind","harvest","replicate"
"057","ForMont","baseline","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"058","ForMont","RCP45","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"059","ForMont","RCP85","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"060","ForMont","baseline","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"061","ForMont","RCP45","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"062","ForMont","RCP85","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"063","ForMont","baseline","4.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"064","ForMont","RCP45","4.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"065","ForMont","RCP85","4.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"066","ForMont","baseline","4.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"067","ForMont","RCP45","4.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"068","ForMont","RCP85","4.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
"069","ForMont","baseline","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2
"070","ForMont","RCP45","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2
"071","ForMont","RCP85","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2
"072","ForMont","baseline","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"073","ForMont","RCP45","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"074","ForMont","RCP85","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"075","ForMont","baseline","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"076","ForMont","RCP45","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"077","ForMont","RCP85","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"078","ForMont","baseline","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"079","ForMont","RCP45","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"080","ForMont","RCP85","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"081","ForMont","baseline","2.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"082","ForMont","RCP45","2.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"083","ForMont","RCP85","2.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"084","ForMont","baseline","2.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"085","ForMont","RCP45","2.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"086","ForMont","RCP85","2.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"087","ForMont","baseline","3.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"088","ForMont","RCP45","3.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"089","ForMont","RCP85","3.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"090","ForMont","baseline","3.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"091","ForMont","RCP45","3.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"092","ForMont","RCP85","3.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"093","ForMont","baseline","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"094","ForMont","RCP45","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"095","ForMont","RCP85","3.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"096","ForMont","baseline","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"097","ForMont","RCP45","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"098","ForMont","RCP85","4.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"099","ForMont","baseline","4.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"100","ForMont","RCP45","4.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"101","ForMont","RCP85","4.2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"102","ForMont","baseline","4.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"103","ForMont","RCP45","4.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"104","ForMont","RCP85","4.3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3
"105","ForMont","baseline","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3
"106","ForMont","RCP45","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3
"107","ForMont","RCP85","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3
"108","ForMont","baseline","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"109","ForMont","RCP45","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"110","ForMont","RCP85","0",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"111","ForMont","baseline","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"112","ForMont","RCP45","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"113","ForMont","RCP85","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"114","ForMont","baseline","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"115","ForMont","RCP45","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
"116","ForMont","RCP85","2.1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4
