"simID","areaName","scenario","mgmt","cropped","spinup","fire","BDA","wind","harvest","replicate"
"58","Hereford","RCP45","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4
"59","Hereford","RCP85","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4
"60","Hereford","baseline","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"61","Hereford","RCP45","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"62","Hereford","RCP85","1",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"63","Hereford","baseline","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"64","Hereford","RCP45","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"65","Hereford","RCP85","2",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"66","Hereford","baseline","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"67","Hereford","RCP45","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"68","Hereford","RCP85","3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"69","Hereford","baseline","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"70","Hereford","RCP45","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"71","Hereford","RCP85","4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5
"72","Hereford","baseline","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5
"73","Hereford","RCP45","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5
"74","Hereford","RCP85","noHarvest",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5
